constraint_name,constraint_type,constraint_base_name,puf_link,year,stabbr,AGI_STUB,table_desc,target,target_num
A00100,amount,00100,c00100,2017,NY,1,Adjusted gross income (AGI),-23906390000,19876
A00200,amount,00200,E00200,2017,NY,1,Salaries and wages amount,1221150000,19877
A00300,amount,00300,E00300,2017,NY,1,Taxable interest amount,822159000,19878
A00600,amount,00600,E00600,2017,NY,1,Ordinary dividends amount,654183000,19879
A00650,amount,00650,E00650,2017,NY,1,Qualified dividends amount,437277000,19880
A00700,amount,00700,E00700,2017,NY,1,State and local income tax refunds amount,44863000,19881
A00900,amount,00900,E00900,2017,NY,1,Business or professional net income (less loss) amount [Schedule C],-568460000,19882
A01400,amount,01400,E01400,2017,NY,1,Taxable individual retirement arrangements distributions amount,169119000,19883
A01700,amount,01700,E01700,2017,NY,1,Taxable pensions and annuities amount,181261000,19884
A02300,amount,02300,E02300,2017,NY,1,Unemployment compensation amount,3800000,19885
A03150,amount,03150,E03150,2017,NY,1,IRA payments amount,3607000,19886
A03210,amount,03210,E03210,2017,NY,1,Student loan interest deduction amount,6606000,19887
A03220,amount,03220,E03220,2017,NY,1,Educator expenses amount,87000,19888
A03230,amount,03230,E03230,2017,NY,1,Tuition and fees deduction amount,18168000,19889
A03240,amount,03240,E03240,2017,NY,1,Domestic production activities deduction amount,35213000,19890
A03270,amount,03270,E03270,2017,NY,1,Self-employment health insurance deduction amount,39316000,19891
A03300,amount,03300,E03300,2017,NY,1,Self-employment retirement plans amount,7728000,19892
A05800,amount,05800,c05800,2017,NY,1,Income tax before credits amount,30967000,19893
A07240,amount,07240,E07240,2017,NY,1,Retirement savings contribution credit amount,44000,19894
A07260,amount,07260,E07260,2017,NY,1,Residential energy tax credit amount,0,19895
A07300,amount,07300,E07300,2017,NY,1,Foreign tax credit amount,2000,19896
A09600,amount,09600,c09600,2017,NY,1,Alternative minimum tax amount,30740000,19897
A18500,amount,18500,E18500,2017,NY,1,Real estate taxes amount,0,19898
A26270,amount,26270,E26270,2017,NY,1,Partnership/S-corp net income (less loss) amount,-7077144000,19899
MARS1,n_returns,NA,MARS1,2017,NY,1,Number of single returns,72990,19900
MARS2,n_returns,NA,MARS2,2017,NY,1,Number of joint returns,29780,19901
MARS3,n_returns,NA,MARS3,2017,NY,1,Number of married-separate returns,4330,19902
MARS4,n_returns,NA,MARS4,2017,NY,1,Number of head of household returns,5810,19903
N00100,n_nonzero,00100,c00100,2017,NY,1,Number of returns with adjusted gross income (AGI),89360,19904
N00200,n_nonzero,00200,E00200,2017,NY,1,Number of returns with salaries and wages,28950,19905
N00300,n_nonzero,00300,E00300,2017,NY,1,Number of returns with taxable interest,43320,19906
N00600,n_nonzero,00600,E00600,2017,NY,1,Number of returns with ordinary dividends,31570,19907
N00650,n_nonzero,00650,E00650,2017,NY,1,Number of returns with qualified dividends,28860,19908
N00700,n_nonzero,00700,E00700,2017,NY,1,Number of returns with state and local income tax refunds,4010,19909
N00900,n_nonzero,00900,E00900,2017,NY,1,Number of returns with business or professional net income (less loss) [Schedule C],33830,19910
N01400,n_nonzero,01400,E01400,2017,NY,1,Number of returns with taxable individual retirement arrangements distributions,8540,19911
N01700,n_nonzero,01700,E01700,2017,NY,1,Number of returns with taxable pensions and annuities,12670,19912
N02300,n_nonzero,02300,E02300,2017,NY,1,Number of returns with unemployment compensation,640,19913
N03150,n_nonzero,03150,E03150,2017,NY,1,Number of returns with IRA payments,670,19914
N03210,n_nonzero,03210,E03210,2017,NY,1,Number of returns with student loan interest deduction,5290,19915
N03220,n_nonzero,03220,E03220,2017,NY,1,Number of returns with educator expenses,370,19916
N03230,n_nonzero,03230,E03230,2017,NY,1,Number of returns with tuition and fees deduction,4980,19917
N03240,n_nonzero,03240,E03240,2017,NY,1,Returns with domestic production activities deduction,730,19918
N03270,n_nonzero,03270,E03270,2017,NY,1,Number of returns with self-employment health insurance deduction,4710,19919
N03300,n_nonzero,03300,E03300,2017,NY,1,Number of returns with self-employment retirement plans,290,19920
N05800,n_nonzero,05800,c05800,2017,NY,1,Number of returns with income tax before credits,910,19921
N07240,n_nonzero,07240,E07240,2017,NY,1,Number of returns with retirement savings contribution credit,50,19922
N07260,n_nonzero,07260,E07260,2017,NY,1,Number of returns with residential energy tax credit,0,19923
N07300,n_nonzero,07300,E07300,2017,NY,1,Number of returns with foreign tax credit,30,19924
N09600,n_nonzero,09600,c09600,2017,NY,1,Number of returns with alternative minimum tax,530,19925
N18500,n_nonzero,18500,E18500,2017,NY,1,Number of returns with real estate taxes,0,19926
N2,n_exempt,NA,XTOT,2017,NY,1,Number of exemptions,165350,19927
N26270,n_nonzero,26270,E26270,2017,NY,1,Number of returns with partnership/S-corp net income (less loss),26850,19928
A00100,amount,00100,c00100,2017,NY,2,Adjusted gross income (AGI),6998061000,19929
A00200,amount,00200,E00200,2017,NY,2,Salaries and wages amount,4950724000,19930
A00300,amount,00300,E00300,2017,NY,2,Taxable interest amount,86258000,19931
A00600,amount,00600,E00600,2017,NY,2,Ordinary dividends amount,173552000,19932
A00650,amount,00650,E00650,2017,NY,2,Qualified dividends amount,115476000,19933
A00700,amount,00700,E00700,2017,NY,2,State and local income tax refunds amount,8985000,19934
A00900,amount,00900,E00900,2017,NY,2,Business or professional net income (less loss) amount [Schedule C],1416275000,19935
A01400,amount,01400,E01400,2017,NY,2,Taxable individual retirement arrangements distributions amount,197385000,19936
A01700,amount,01700,E01700,2017,NY,2,Taxable pensions and annuities amount,541601000,19937
A02300,amount,02300,E02300,2017,NY,2,Unemployment compensation amount,48604000,19938
A03150,amount,03150,E03150,2017,NY,2,IRA payments amount,9692000,19939
A03210,amount,03210,E03210,2017,NY,2,Student loan interest deduction amount,23787000,19940
A03220,amount,03220,E03220,2017,NY,2,Educator expenses amount,453000,19941
A03230,amount,03230,E03230,2017,NY,2,Tuition and fees deduction amount,47749000,19942
A03240,amount,03240,E03240,2017,NY,2,Domestic production activities deduction amount,6213000,19943
A03270,amount,03270,E03270,2017,NY,2,Self-employment health insurance deduction amount,25837000,19944
A03300,amount,03300,E03300,2017,NY,2,Self-employment retirement plans amount,2699000,19945
A05800,amount,05800,c05800,2017,NY,2,Income tax before credits amount,25693000,19946
A07240,amount,07240,E07240,2017,NY,2,Retirement savings contribution credit amount,20000,19947
A07260,amount,07260,E07260,2017,NY,2,Residential energy tax credit amount,6000,19948
A07300,amount,07300,E07300,2017,NY,2,Foreign tax credit amount,346000,19949
A09600,amount,09600,c09600,2017,NY,2,Alternative minimum tax amount,233000,19950
A18500,amount,18500,E18500,2017,NY,2,Real estate taxes amount,213791000,19951
A26270,amount,26270,E26270,2017,NY,2,Partnership/S-corp net income (less loss) amount,-48993000,19952
MARS1,n_returns,NA,MARS1,2017,NY,2,Number of single returns,1115810,19953
MARS2,n_returns,NA,MARS2,2017,NY,2,Number of joint returns,99170,19954
MARS3,n_returns,NA,MARS3,2017,NY,2,Number of married-separate returns,18640,19955
MARS4,n_returns,NA,MARS4,2017,NY,2,Number of head of household returns,112170,19956
N00100,n_nonzero,00100,c00100,2017,NY,2,Number of returns with adjusted gross income (AGI),1345780,19957
N00200,n_nonzero,00200,E00200,2017,NY,2,Number of returns with salaries and wages,904070,19958
N00300,n_nonzero,00300,E00300,2017,NY,2,Number of returns with taxable interest,207740,19959
N00600,n_nonzero,00600,E00600,2017,NY,2,Number of returns with ordinary dividends,131670,19960
N00650,n_nonzero,00650,E00650,2017,NY,2,Number of returns with qualified dividends,120080,19961
N00700,n_nonzero,00700,E00700,2017,NY,2,Number of returns with state and local income tax refunds,9260,19962
N00900,n_nonzero,00900,E00900,2017,NY,2,Number of returns with business or professional net income (less loss) [Schedule C],290970,19963
N01400,n_nonzero,01400,E01400,2017,NY,2,Number of returns with taxable individual retirement arrangements distributions,52170,19964
N01700,n_nonzero,01700,E01700,2017,NY,2,Number of returns with taxable pensions and annuities,117150,19965
N02300,n_nonzero,02300,E02300,2017,NY,2,Number of returns with unemployment compensation,13140,19966
N03150,n_nonzero,03150,E03150,2017,NY,2,Number of returns with IRA payments,2830,19967
N03210,n_nonzero,03210,E03210,2017,NY,2,Number of returns with student loan interest deduction,24930,19968
N03220,n_nonzero,03220,E03220,2017,NY,2,Number of returns with educator expenses,2030,19969
N03230,n_nonzero,03230,E03230,2017,NY,2,Number of returns with tuition and fees deduction,14590,19970
N03240,n_nonzero,03240,E03240,2017,NY,2,Returns with domestic production activities deduction,610,19971
N03270,n_nonzero,03270,E03270,2017,NY,2,Number of returns with self-employment health insurance deduction,7190,19972
N03300,n_nonzero,03300,E03300,2017,NY,2,Number of returns with self-employment retirement plans,440,19973
N05800,n_nonzero,05800,c05800,2017,NY,2,Number of returns with income tax before credits,125420,19974
N07240,n_nonzero,07240,E07240,2017,NY,2,Number of returns with retirement savings contribution credit,100,19975
N07260,n_nonzero,07260,E07260,2017,NY,2,Number of returns with residential energy tax credit,30,19976
N07300,n_nonzero,07300,E07300,2017,NY,2,Number of returns with foreign tax credit,8150,19977
N09600,n_nonzero,09600,c09600,2017,NY,2,Number of returns with alternative minimum tax,70,19978
N18500,n_nonzero,18500,E18500,2017,NY,2,Number of returns with real estate taxes,31280,19979
N2,n_exempt,NA,XTOT,2017,NY,2,Number of exemptions,1272370,19980
N26270,n_nonzero,26270,E26270,2017,NY,2,Number of returns with partnership/S-corp net income (less loss),19380,19981
A00100,amount,00100,c00100,2017,NY,3,Adjusted gross income (AGI),34317550000,19982
A00200,amount,00200,E00200,2017,NY,3,Salaries and wages amount,25567251000,19983
A00300,amount,00300,E00300,2017,NY,3,Taxable interest amount,187128000,19984
A00600,amount,00600,E00600,2017,NY,3,Ordinary dividends amount,380169000,19985
A00650,amount,00650,E00650,2017,NY,3,Qualified dividends amount,247539000,19986
A00700,amount,00700,E00700,2017,NY,3,State and local income tax refunds amount,25284000,19987
A00900,amount,00900,E00900,2017,NY,3,Business or professional net income (less loss) amount [Schedule C],4213000000,19988
A01400,amount,01400,E01400,2017,NY,3,Taxable individual retirement arrangements distributions amount,775617000,19989
A01700,amount,01700,E01700,2017,NY,3,Taxable pensions and annuities amount,2861850000,19990
A02300,amount,02300,E02300,2017,NY,3,Unemployment compensation amount,318154000,19991
A03150,amount,03150,E03150,2017,NY,3,IRA payments amount,53337000,19992
A03210,amount,03210,E03210,2017,NY,3,Student loan interest deduction amount,88801000,19993
A03220,amount,03220,E03220,2017,NY,3,Educator expenses amount,2714000,19994
A03230,amount,03230,E03230,2017,NY,3,Tuition and fees deduction amount,23892000,19995
A03240,amount,03240,E03240,2017,NY,3,Domestic production activities deduction amount,6708000,19996
A03270,amount,03270,E03270,2017,NY,3,Self-employment health insurance deduction amount,62624000,19997
A03300,amount,03300,E03300,2017,NY,3,Self-employment retirement plans amount,10878000,19998
A05800,amount,05800,c05800,2017,NY,3,Income tax before credits amount,849121000,19999
A07240,amount,07240,E07240,2017,NY,3,Retirement savings contribution credit amount,19313000,20000
A07260,amount,07260,E07260,2017,NY,3,Residential energy tax credit amount,701000,20001
A07300,amount,07300,E07300,2017,NY,3,Foreign tax credit amount,1306000,20002
A09600,amount,09600,c09600,2017,NY,3,Alternative minimum tax amount,1040000,20003
A18500,amount,18500,E18500,2017,NY,3,Real estate taxes amount,591114000,20004
A26270,amount,26270,E26270,2017,NY,3,Partnership/S-corp net income (less loss) amount,81255000,20005
MARS1,n_returns,NA,MARS1,2017,NY,3,Number of single returns,1198920,20006
MARS2,n_returns,NA,MARS2,2017,NY,3,Number of joint returns,323880,20007
MARS3,n_returns,NA,MARS3,2017,NY,3,Number of married-separate returns,31450,20008
MARS4,n_returns,NA,MARS4,2017,NY,3,Number of head of household returns,450950,20009
N00100,n_nonzero,00100,c00100,2017,NY,3,Number of returns with adjusted gross income (AGI),2005200,20010
N00200,n_nonzero,00200,E00200,2017,NY,3,Number of returns with salaries and wages,1560740,20011
N00300,n_nonzero,00300,E00300,2017,NY,3,Number of returns with taxable interest,301630,20012
N00600,n_nonzero,00600,E00600,2017,NY,3,Number of returns with ordinary dividends,170720,20013
N00650,n_nonzero,00650,E00650,2017,NY,3,Number of returns with qualified dividends,154690,20014
N00700,n_nonzero,00700,E00700,2017,NY,3,Number of returns with state and local income tax refunds,31290,20015
N00900,n_nonzero,00900,E00900,2017,NY,3,Number of returns with business or professional net income (less loss) [Schedule C],393980,20016
N01400,n_nonzero,01400,E01400,2017,NY,3,Number of returns with taxable individual retirement arrangements distributions,112730,20017
N01700,n_nonzero,01700,E01700,2017,NY,3,Number of returns with taxable pensions and annuities,258080,20018
N02300,n_nonzero,02300,E02300,2017,NY,3,Number of returns with unemployment compensation,69560,20019
N03150,n_nonzero,03150,E03150,2017,NY,3,Number of returns with IRA payments,15440,20020
N03210,n_nonzero,03210,E03210,2017,NY,3,Number of returns with student loan interest deduction,93160,20021
N03220,n_nonzero,03220,E03220,2017,NY,3,Number of returns with educator expenses,11520,20022
N03230,n_nonzero,03230,E03230,2017,NY,3,Number of returns with tuition and fees deduction,8480,20023
N03240,n_nonzero,03240,E03240,2017,NY,3,Returns with domestic production activities deduction,1030,20024
N03270,n_nonzero,03270,E03270,2017,NY,3,Number of returns with self-employment health insurance deduction,16790,20025
N03300,n_nonzero,03300,E03300,2017,NY,3,Number of returns with self-employment retirement plans,1620,20026
N05800,n_nonzero,05800,c05800,2017,NY,3,Number of returns with income tax before credits,1249440,20027
N07240,n_nonzero,07240,E07240,2017,NY,3,Number of returns with retirement savings contribution credit,110140,20028
N07260,n_nonzero,07260,E07260,2017,NY,3,Number of returns with residential energy tax credit,2330,20029
N07300,n_nonzero,07300,E07300,2017,NY,3,Number of returns with foreign tax credit,19230,20030
N09600,n_nonzero,09600,c09600,2017,NY,3,Number of returns with alternative minimum tax,330,20031
N18500,n_nonzero,18500,E18500,2017,NY,3,Number of returns with real estate taxes,93090,20032
N2,n_exempt,NA,XTOT,2017,NY,3,Number of exemptions,3375680,20033
N26270,n_nonzero,26270,E26270,2017,NY,3,Number of returns with partnership/S-corp net income (less loss),40030,20034
A00100,amount,00100,c00100,2017,NY,4,Adjusted gross income (AGI),78562853000,20035
A00200,amount,00200,E00200,2017,NY,4,Salaries and wages amount,65312304000,20036
A00300,amount,00300,E00300,2017,NY,4,Taxable interest amount,302417000,20037
A00600,amount,00600,E00600,2017,NY,4,Ordinary dividends amount,668220000,20038
A00650,amount,00650,E00650,2017,NY,4,Qualified dividends amount,458199000,20039
A00700,amount,00700,E00700,2017,NY,4,State and local income tax refunds amount,112990000,20040
A00900,amount,00900,E00900,2017,NY,4,Business or professional net income (less loss) amount [Schedule C],2832569000,20041
A01400,amount,01400,E01400,2017,NY,4,Taxable individual retirement arrangements distributions amount,1406023000,20042
A01700,amount,01700,E01700,2017,NY,4,Taxable pensions and annuities amount,5504451000,20043
A02300,amount,02300,E02300,2017,NY,4,Unemployment compensation amount,437360000,20044
A03150,amount,03150,E03150,2017,NY,4,IRA payments amount,177430000,20045
A03210,amount,03210,E03210,2017,NY,4,Student loan interest deduction amount,279471000,20046
A03220,amount,03220,E03220,2017,NY,4,Educator expenses amount,8473000,20047
A03230,amount,03230,E03230,2017,NY,4,Tuition and fees deduction amount,23934000,20048
A03240,amount,03240,E03240,2017,NY,4,Domestic production activities deduction amount,11750000,20049
A03270,amount,03270,E03270,2017,NY,4,Self-employment health insurance deduction amount,137926000,20050
A03300,amount,03300,E03300,2017,NY,4,Self-employment retirement plans amount,38660000,20051
A05800,amount,05800,c05800,2017,NY,4,Income tax before credits amount,5212349000,20052
A07240,amount,07240,E07240,2017,NY,4,Retirement savings contribution credit amount,44124000,20053
A07260,amount,07260,E07260,2017,NY,4,Residential energy tax credit amount,6737000,20054
A07300,amount,07300,E07300,2017,NY,4,Foreign tax credit amount,5654000,20055
A09600,amount,09600,c09600,2017,NY,4,Alternative minimum tax amount,1833000,20056
A18500,amount,18500,E18500,2017,NY,4,Real estate taxes amount,1544207000,20057
A26270,amount,26270,E26270,2017,NY,4,Partnership/S-corp net income (less loss) amount,340707000,20058
MARS1,n_returns,NA,MARS1,2017,NY,4,Number of single returns,1190480,20059
MARS2,n_returns,NA,MARS2,2017,NY,4,Number of joint returns,436000,20060
MARS3,n_returns,NA,MARS3,2017,NY,4,Number of married-separate returns,55210,20061
MARS4,n_returns,NA,MARS4,2017,NY,4,Number of head of household returns,477470,20062
N00100,n_nonzero,00100,c00100,2017,NY,4,Number of returns with adjusted gross income (AGI),2159160,20063
N00200,n_nonzero,00200,E00200,2017,NY,4,Number of returns with salaries and wages,1893590,20064
N00300,n_nonzero,00300,E00300,2017,NY,4,Number of returns with taxable interest,483390,20065
N00600,n_nonzero,00600,E00600,2017,NY,4,Number of returns with ordinary dividends,250360,20066
N00650,n_nonzero,00650,E00650,2017,NY,4,Number of returns with qualified dividends,229990,20067
N00700,n_nonzero,00700,E00700,2017,NY,4,Number of returns with state and local income tax refunds,152160,20068
N00900,n_nonzero,00900,E00900,2017,NY,4,Number of returns with business or professional net income (less loss) [Schedule C],259470,20069
N01400,n_nonzero,01400,E01400,2017,NY,4,Number of returns with taxable individual retirement arrangements distributions,143790,20070
N01700,n_nonzero,01700,E01700,2017,NY,4,Number of returns with taxable pensions and annuities,319050,20071
N02300,n_nonzero,02300,E02300,2017,NY,4,Number of returns with unemployment compensation,82660,20072
N03150,n_nonzero,03150,E03150,2017,NY,4,Number of returns with IRA payments,42750,20073
N03210,n_nonzero,03210,E03210,2017,NY,4,Number of returns with student loan interest deduction,249560,20074
N03220,n_nonzero,03220,E03220,2017,NY,4,Number of returns with educator expenses,34850,20075
N03230,n_nonzero,03230,E03230,2017,NY,4,Number of returns with tuition and fees deduction,9630,20076
N03240,n_nonzero,03240,E03240,2017,NY,4,Returns with domestic production activities deduction,1930,20077
N03270,n_nonzero,03270,E03270,2017,NY,4,Number of returns with self-employment health insurance deduction,28040,20078
N03300,n_nonzero,03300,E03300,2017,NY,4,Number of returns with self-employment retirement plans,4270,20079
N05800,n_nonzero,05800,c05800,2017,NY,4,Number of returns with income tax before credits,2055710,20080
N07240,n_nonzero,07240,E07240,2017,NY,4,Number of returns with retirement savings contribution credit,241620,20081
N07260,n_nonzero,07260,E07260,2017,NY,4,Number of returns with residential energy tax credit,11750,20082
N07300,n_nonzero,07300,E07300,2017,NY,4,Number of returns with foreign tax credit,52600,20083
N09600,n_nonzero,09600,c09600,2017,NY,4,Number of returns with alternative minimum tax,450,20084
N18500,n_nonzero,18500,E18500,2017,NY,4,Number of returns with real estate taxes,250390,20085
N2,n_exempt,NA,XTOT,2017,NY,4,Number of exemptions,3800340,20086
N26270,n_nonzero,26270,E26270,2017,NY,4,Number of returns with partnership/S-corp net income (less loss),62930,20087
A00100,amount,00100,c00100,2017,NY,5,Adjusted gross income (AGI),81527861000,20088
A00200,amount,00200,E00200,2017,NY,5,Salaries and wages amount,65054349000,20089
A00300,amount,00300,E00300,2017,NY,5,Taxable interest amount,358480000,20090
A00600,amount,00600,E00600,2017,NY,5,Ordinary dividends amount,884563000,20091
A00650,amount,00650,E00650,2017,NY,5,Qualified dividends amount,623471000,20092
A00700,amount,00700,E00700,2017,NY,5,State and local income tax refunds amount,228882000,20093
A00900,amount,00900,E00900,2017,NY,5,Business or professional net income (less loss) amount [Schedule C],1800229000,20094
A01400,amount,01400,E01400,2017,NY,5,Taxable individual retirement arrangements distributions amount,1770002000,20095
A01700,amount,01700,E01700,2017,NY,5,Taxable pensions and annuities amount,6886537000,20096
A02300,amount,02300,E02300,2017,NY,5,Unemployment compensation amount,228398000,20097
A03150,amount,03150,E03150,2017,NY,5,IRA payments amount,180142000,20098
A03210,amount,03210,E03210,2017,NY,5,Student loan interest deduction amount,238688000,20099
A03220,amount,03220,E03220,2017,NY,5,Educator expenses amount,11498000,20100
A03230,amount,03230,E03230,2017,NY,5,Tuition and fees deduction amount,33506000,20101
A03240,amount,03240,E03240,2017,NY,5,Domestic production activities deduction amount,12407000,20102
A03270,amount,03270,E03270,2017,NY,5,Self-employment health insurance deduction amount,146501000,20103
A03300,amount,03300,E03300,2017,NY,5,Self-employment retirement plans amount,58608000,20104
A05800,amount,05800,c05800,2017,NY,5,Income tax before credits amount,7970590000,20105
A07240,amount,07240,E07240,2017,NY,5,Retirement savings contribution credit amount,9300000,20106
A07260,amount,07260,E07260,2017,NY,5,Residential energy tax credit amount,13026000,20107
A07300,amount,07300,E07300,2017,NY,5,Foreign tax credit amount,10531000,20108
A09600,amount,09600,c09600,2017,NY,5,Alternative minimum tax amount,5707000,20109
A18500,amount,18500,E18500,2017,NY,5,Real estate taxes amount,2228967000,20110
A26270,amount,26270,E26270,2017,NY,5,Partnership/S-corp net income (less loss) amount,487203000,20111
MARS1,n_returns,NA,MARS1,2017,NY,5,Number of single returns,673230,20112
MARS2,n_returns,NA,MARS2,2017,NY,5,Number of joint returns,386460,20113
MARS3,n_returns,NA,MARS3,2017,NY,5,Number of married-separate returns,42800,20114
MARS4,n_returns,NA,MARS4,2017,NY,5,Number of head of household returns,223760,20115
N00100,n_nonzero,00100,c00100,2017,NY,5,Number of returns with adjusted gross income (AGI),1326250,20116
N00200,n_nonzero,00200,E00200,2017,NY,5,Number of returns with salaries and wages,1158770,20117
N00300,n_nonzero,00300,E00300,2017,NY,5,Number of returns with taxable interest,499840,20118
N00600,n_nonzero,00600,E00600,2017,NY,5,Number of returns with ordinary dividends,263130,20119
N00650,n_nonzero,00650,E00650,2017,NY,5,Number of returns with qualified dividends,243880,20120
N00700,n_nonzero,00700,E00700,2017,NY,5,Number of returns with state and local income tax refunds,263790,20121
N00900,n_nonzero,00900,E00900,2017,NY,5,Number of returns with business or professional net income (less loss) [Schedule C],162460,20122
N01400,n_nonzero,01400,E01400,2017,NY,5,Number of returns with taxable individual retirement arrangements distributions,134070,20123
N01700,n_nonzero,01700,E01700,2017,NY,5,Number of returns with taxable pensions and annuities,278430,20124
N02300,n_nonzero,02300,E02300,2017,NY,5,Number of returns with unemployment compensation,43400,20125
N03150,n_nonzero,03150,E03150,2017,NY,5,Number of returns with IRA payments,38330,20126
N03210,n_nonzero,03210,E03210,2017,NY,5,Number of returns with student loan interest deduction,204070,20127
N03220,n_nonzero,03220,E03220,2017,NY,5,Number of returns with educator expenses,46530,20128
N03230,n_nonzero,03230,E03230,2017,NY,5,Number of returns with tuition and fees deduction,15520,20129
N03240,n_nonzero,03240,E03240,2017,NY,5,Returns with domestic production activities deduction,2140,20130
N03270,n_nonzero,03270,E03270,2017,NY,5,Number of returns with self-employment health insurance deduction,22770,20131
N03300,n_nonzero,03300,E03300,2017,NY,5,Number of returns with self-employment retirement plans,5110,20132
N05800,n_nonzero,05800,c05800,2017,NY,5,Number of returns with income tax before credits,1313640,20133
N07240,n_nonzero,07240,E07240,2017,NY,5,Number of returns with retirement savings contribution credit,53490,20134
N07260,n_nonzero,07260,E07260,2017,NY,5,Number of returns with residential energy tax credit,14980,20135
N07300,n_nonzero,07300,E07300,2017,NY,5,Number of returns with foreign tax credit,69150,20136
N09600,n_nonzero,09600,c09600,2017,NY,5,Number of returns with alternative minimum tax,2170,20137
N18500,n_nonzero,18500,E18500,2017,NY,5,Number of returns with real estate taxes,354710,20138
N2,n_exempt,NA,XTOT,2017,NY,5,Number of exemptions,2385170,20139
