constraint_name,constraint_type,constraint_base_name,puf_link,year,stabbr,AGI_STUB,table_desc,target,target_num
N26270,n_nonzero,26270,E26270,2017,NY,5,Number of returns with partnership/S-corp net income (less loss),58710,20140
A00100,amount,00100,c00100,2017,NY,6,Adjusted gross income (AGI),73482730000,20141
A00200,amount,00200,E00200,2017,NY,6,Salaries and wages amount,55967004000,20142
A00300,amount,00300,E00300,2017,NY,6,Taxable interest amount,367317000,20143
A00600,amount,00600,E00600,2017,NY,6,Ordinary dividends amount,966330000,20144
A00650,amount,00650,E00650,2017,NY,6,Qualified dividends amount,701401000,20145
A00700,amount,00700,E00700,2017,NY,6,State and local income tax refunds amount,282307000,20146
A00900,amount,00900,E00900,2017,NY,6,Business or professional net income (less loss) amount [Schedule C],1581956000,20147
A01400,amount,01400,E01400,2017,NY,6,Taxable individual retirement arrangements distributions amount,1940924000,20148
A01700,amount,01700,E01700,2017,NY,6,Taxable pensions and annuities amount,7206825000,20149
A02300,amount,02300,E02300,2017,NY,6,Unemployment compensation amount,142385000,20150
A03150,amount,03150,E03150,2017,NY,6,IRA payments amount,140640000,20151
A03210,amount,03210,E03210,2017,NY,6,Student loan interest deduction amount,87021000,20152
A03220,amount,03220,E03220,2017,NY,6,Educator expenses amount,11514000,20153
A03230,amount,03230,E03230,2017,NY,6,Tuition and fees deduction amount,7652000,20154
A03240,amount,03240,E03240,2017,NY,6,Domestic production activities deduction amount,12389000,20155
A03270,amount,03270,E03270,2017,NY,6,Self-employment health insurance deduction amount,139501000,20156
A03300,amount,03300,E03300,2017,NY,6,Self-employment retirement plans amount,78355000,20157
A05800,amount,05800,c05800,2017,NY,6,Income tax before credits amount,8269689000,20158
A07240,amount,07240,E07240,2017,NY,6,Retirement savings contribution credit amount,0,20159
A07260,amount,07260,E07260,2017,NY,6,Residential energy tax credit amount,15402000,20160
A07300,amount,07300,E07300,2017,NY,6,Foreign tax credit amount,13650000,20161
A09600,amount,09600,c09600,2017,NY,6,Alternative minimum tax amount,15056000,20162
A18500,amount,18500,E18500,2017,NY,6,Real estate taxes amount,2514490000,20163
A26270,amount,26270,E26270,2017,NY,6,Partnership/S-corp net income (less loss) amount,656348000,20164
MARS1,n_returns,NA,MARS1,2017,NY,6,Number of single returns,330010,20165
MARS2,n_returns,NA,MARS2,2017,NY,6,Number of joint returns,385850,20166
MARS3,n_returns,NA,MARS3,2017,NY,6,Number of married-separate returns,26360,20167
MARS4,n_returns,NA,MARS4,2017,NY,6,Number of head of household returns,105780,20168
N00100,n_nonzero,00100,c00100,2017,NY,6,Number of returns with adjusted gross income (AGI),848000,20169
N00200,n_nonzero,00200,E00200,2017,NY,6,Number of returns with salaries and wages,735030,20170
N00300,n_nonzero,00300,E00300,2017,NY,6,Number of returns with taxable interest,437650,20171
N00600,n_nonzero,00600,E00600,2017,NY,6,Number of returns with ordinary dividends,238780,20172
N00650,n_nonzero,00650,E00650,2017,NY,6,Number of returns with qualified dividends,222540,20173
N00700,n_nonzero,00700,E00700,2017,NY,6,Number of returns with state and local income tax refunds,280080,20174
N00900,n_nonzero,00900,E00900,2017,NY,6,Number of returns with business or professional net income (less loss) [Schedule C],121110,20175
N01400,n_nonzero,01400,E01400,2017,NY,6,Number of returns with taxable individual retirement arrangements distributions,115690,20176
N01700,n_nonzero,01700,E01700,2017,NY,6,Number of returns with taxable pensions and annuities,223390,20177
N02300,n_nonzero,02300,E02300,2017,NY,6,Number of returns with unemployment compensation,27600,20178
N03150,n_nonzero,03150,E03150,2017,NY,6,Number of returns with IRA payments,24500,20179
N03210,n_nonzero,03210,E03210,2017,NY,6,Number of returns with student loan interest deduction,82150,20180
N03220,n_nonzero,03220,E03220,2017,NY,6,Number of returns with educator expenses,45420,20181
N03230,n_nonzero,03230,E03230,2017,NY,6,Number of returns with tuition and fees deduction,3840,20182
N03240,n_nonzero,03240,E03240,2017,NY,6,Returns with domestic production activities deduction,2070,20183
N03270,n_nonzero,03270,E03270,2017,NY,6,Number of returns with self-employment health insurance deduction,18600,20184
N03300,n_nonzero,03300,E03300,2017,NY,6,Number of returns with self-employment retirement plans,5830,20185
N05800,n_nonzero,05800,c05800,2017,NY,6,Number of returns with income tax before credits,842830,20186
N07240,n_nonzero,07240,E07240,2017,NY,6,Number of returns with retirement savings contribution credit,0,20187
N07260,n_nonzero,07260,E07260,2017,NY,6,Number of returns with residential energy tax credit,13850,20188
N07300,n_nonzero,07300,E07300,2017,NY,6,Number of returns with foreign tax credit,69890,20189
N09600,n_nonzero,09600,c09600,2017,NY,6,Number of returns with alternative minimum tax,10510,20190
N18500,n_nonzero,18500,E18500,2017,NY,6,Number of returns with real estate taxes,358730,20191
N2,n_exempt,NA,XTOT,2017,NY,6,Number of exemptions,1713800,20192
N26270,n_nonzero,26270,E26270,2017,NY,6,Number of returns with partnership/S-corp net income (less loss),55360,20193
A00100,amount,00100,c00100,2017,NY,7,Adjusted gross income (AGI),179003932000,20194
A00200,amount,00200,E00200,2017,NY,7,Salaries and wages amount,134967516000,20195
A00300,amount,00300,E00300,2017,NY,7,Taxable interest amount,1007250000,20196
A00600,amount,00600,E00600,2017,NY,7,Ordinary dividends amount,3075451000,20197
A00650,amount,00650,E00650,2017,NY,7,Qualified dividends amount,2330008000,20198
A00700,amount,00700,E00700,2017,NY,7,State and local income tax refunds amount,791304000,20199
A00900,amount,00900,E00900,2017,NY,7,Business or professional net income (less loss) amount [Schedule C],4508425000,20200
A01400,amount,01400,E01400,2017,NY,7,Taxable individual retirement arrangements distributions amount,5153632000,20201
A01700,amount,01700,E01700,2017,NY,7,Taxable pensions and annuities amount,16323280000,20202
A02300,amount,02300,E02300,2017,NY,7,Unemployment compensation amount,198662000,20203
A03150,amount,03150,E03150,2017,NY,7,IRA payments amount,271551000,20204
A03210,amount,03210,E03210,2017,NY,7,Student loan interest deduction amount,148625000,20205
A03220,amount,03220,E03220,2017,NY,7,Educator expenses amount,30265000,20206
A03230,amount,03230,E03230,2017,NY,7,Tuition and fees deduction amount,40689000,20207
A03240,amount,03240,E03240,2017,NY,7,Domestic production activities deduction amount,36492000,20208
A03270,amount,03270,E03270,2017,NY,7,Self-employment health insurance deduction amount,400035000,20209
A03300,amount,03300,E03300,2017,NY,7,Self-employment retirement plans amount,377741000,20210
A05800,amount,05800,c05800,2017,NY,7,Income tax before credits amount,23935283000,20211
A07240,amount,07240,E07240,2017,NY,7,Retirement savings contribution credit amount,0,20212
A07260,amount,07260,E07260,2017,NY,7,Residential energy tax credit amount,43528000,20213
A07300,amount,07300,E07300,2017,NY,7,Foreign tax credit amount,62450000,20214
A09600,amount,09600,c09600,2017,NY,7,Alternative minimum tax amount,271449000,20215
A18500,amount,18500,E18500,2017,NY,7,Real estate taxes amount,7632511000,20216
A26270,amount,26270,E26270,2017,NY,7,Partnership/S-corp net income (less loss) amount,3119764000,20217
MARS1,n_returns,NA,MARS1,2017,NY,7,Number of single returns,329920,20218
MARS2,n_returns,NA,MARS2,2017,NY,7,Number of joint returns,858250,20219
MARS3,n_returns,NA,MARS3,2017,NY,7,Number of married-separate returns,27530,20220
MARS4,n_returns,NA,MARS4,2017,NY,7,Number of head of household returns,93660,20221
N00100,n_nonzero,00100,c00100,2017,NY,7,Number of returns with adjusted gross income (AGI),1309360,20222
N00200,n_nonzero,00200,E00200,2017,NY,7,Number of returns with salaries and wages,1157870,20223
N00300,n_nonzero,00300,E00300,2017,NY,7,Number of returns with taxable interest,869710,20224
N00600,n_nonzero,00600,E00600,2017,NY,7,Number of returns with ordinary dividends,519700,20225
N00650,n_nonzero,00650,E00650,2017,NY,7,Number of returns with qualified dividends,490800,20226
N00700,n_nonzero,00700,E00700,2017,NY,7,Number of returns with state and local income tax refunds,597270,20227
N00900,n_nonzero,00900,E00900,2017,NY,7,Number of returns with business or professional net income (less loss) [Schedule C],232560,20228
N01400,n_nonzero,01400,E01400,2017,NY,7,Number of returns with taxable individual retirement arrangements distributions,209010,20229
N01700,n_nonzero,01700,E01700,2017,NY,7,Number of returns with taxable pensions and annuities,367250,20230
N02300,n_nonzero,02300,E02300,2017,NY,7,Number of returns with unemployment compensation,38350,20231
N03150,n_nonzero,03150,E03150,2017,NY,7,Number of returns with IRA payments,46180,20232
N03210,n_nonzero,03210,E03210,2017,NY,7,Number of returns with student loan interest deduction,126400,20233
N03220,n_nonzero,03220,E03220,2017,NY,7,Number of returns with educator expenses,110670,20234
N03230,n_nonzero,03230,E03230,2017,NY,7,Number of returns with tuition and fees deduction,21050,20235
N03240,n_nonzero,03240,E03240,2017,NY,7,Returns with domestic production activities deduction,5910,20236
N03270,n_nonzero,03270,E03270,2017,NY,7,Number of returns with self-employment health insurance deduction,42810,20237
N03300,n_nonzero,03300,E03300,2017,NY,7,Number of returns with self-employment retirement plans,21660,20238
N05800,n_nonzero,05800,c05800,2017,NY,7,Number of returns with income tax before credits,1304620,20239
N07240,n_nonzero,07240,E07240,2017,NY,7,Number of returns with retirement savings contribution credit,0,20240
N07260,n_nonzero,07260,E07260,2017,NY,7,Number of returns with residential energy tax credit,29220,20241
N07300,n_nonzero,07300,E07300,2017,NY,7,Number of returns with foreign tax credit,176100,20242
N09600,n_nonzero,09600,c09600,2017,NY,7,Number of returns with alternative minimum tax,117750,20243
N18500,n_nonzero,18500,E18500,2017,NY,7,Number of returns with real estate taxes,861760,20244
N2,n_exempt,NA,XTOT,2017,NY,7,Number of exemptions,3148060,20245
N26270,n_nonzero,26270,E26270,2017,NY,7,Number of returns with partnership/S-corp net income (less loss),143290,20246
A00100,amount,00100,c00100,2017,NY,8,Adjusted gross income (AGI),129588367000,20247
A00200,amount,00200,E00200,2017,NY,8,Salaries and wages amount,92248432000,20248
A00300,amount,00300,E00300,2017,NY,8,Taxable interest amount,1067258000,20249
A00600,amount,00600,E00600,2017,NY,8,Ordinary dividends amount,3796718000,20250
A00650,amount,00650,E00650,2017,NY,8,Qualified dividends amount,2978965000,20251
A00700,amount,00700,E00700,2017,NY,8,State and local income tax refunds amount,526586000,20252
A00900,amount,00900,E00900,2017,NY,8,Business or professional net income (less loss) amount [Schedule C],5505720000,20253
A01400,amount,01400,E01400,2017,NY,8,Taxable individual retirement arrangements distributions amount,3518001000,20254
A01700,amount,01700,E01700,2017,NY,8,Taxable pensions and annuities amount,6671409000,20255
A02300,amount,02300,E02300,2017,NY,8,Unemployment compensation amount,47999000,20256
A03150,amount,03150,E03150,2017,NY,8,IRA payments amount,85313000,20257
A03210,amount,03210,E03210,2017,NY,8,Student loan interest deduction amount,0,20258
A03220,amount,03220,E03220,2017,NY,8,Educator expenses amount,9667000,20259
A03230,amount,03230,E03230,2017,NY,8,Tuition and fees deduction amount,0,20260
A03240,amount,03240,E03240,2017,NY,8,Domestic production activities deduction amount,71134000,20261
A03270,amount,03270,E03270,2017,NY,8,Self-employment health insurance deduction amount,487934000,20262
A03300,amount,03300,E03300,2017,NY,8,Self-employment retirement plans amount,853283000,20263
A05800,amount,05800,c05800,2017,NY,8,Income tax before credits amount,25685825000,20264
A07240,amount,07240,E07240,2017,NY,8,Retirement savings contribution credit amount,0,20265
A07260,amount,07260,E07260,2017,NY,8,Residential energy tax credit amount,19017000,20266
A07300,amount,07300,E07300,2017,NY,8,Foreign tax credit amount,163565000,20267
A09600,amount,09600,c09600,2017,NY,8,Alternative minimum tax amount,2537188000,20268
A18500,amount,18500,E18500,2017,NY,8,Real estate taxes amount,4920125000,20269
A26270,amount,26270,E26270,2017,NY,8,Partnership/S-corp net income (less loss) amount,7997236000,20270
MARS1,n_returns,NA,MARS1,2017,NY,8,Number of single returns,81790,20271
MARS2,n_returns,NA,MARS2,2017,NY,8,Number of joint returns,350390,20272
MARS3,n_returns,NA,MARS3,2017,NY,8,Number of married-separate returns,6050,20273
MARS4,n_returns,NA,MARS4,2017,NY,8,Number of head of household returns,13470,20274
N00100,n_nonzero,00100,c00100,2017,NY,8,Number of returns with adjusted gross income (AGI),451700,20275
N00200,n_nonzero,00200,E00200,2017,NY,8,Number of returns with salaries and wages,403520,20276
N00300,n_nonzero,00300,E00300,2017,NY,8,Number of returns with taxable interest,370830,20277
N00600,n_nonzero,00600,E00600,2017,NY,8,Number of returns with ordinary dividends,281010,20278
N00650,n_nonzero,00650,E00650,2017,NY,8,Number of returns with qualified dividends,269920,20279
N00700,n_nonzero,00700,E00700,2017,NY,8,Number of returns with state and local income tax refunds,175630,20280
N00900,n_nonzero,00900,E00900,2017,NY,8,Number of returns with business or professional net income (less loss) [Schedule C],106420,20281
N01400,n_nonzero,01400,E01400,2017,NY,8,Number of returns with taxable individual retirement arrangements distributions,80200,20282
N01700,n_nonzero,01700,E01700,2017,NY,8,Number of returns with taxable pensions and annuities,105620,20283
N02300,n_nonzero,02300,E02300,2017,NY,8,Number of returns with unemployment compensation,8220,20284
N03150,n_nonzero,03150,E03150,2017,NY,8,Number of returns with IRA payments,9600,20285
N03210,n_nonzero,03210,E03210,2017,NY,8,Number of returns with student loan interest deduction,0,20286
N03220,n_nonzero,03220,E03220,2017,NY,8,Number of returns with educator expenses,34150,20287
N03230,n_nonzero,03230,E03230,2017,NY,8,Number of returns with tuition and fees deduction,0,20288
N03240,n_nonzero,03240,E03240,2017,NY,8,Returns with domestic production activities deduction,7040,20289
N03270,n_nonzero,03270,E03270,2017,NY,8,Number of returns with self-employment health insurance deduction,36260,20290
N03300,n_nonzero,03300,E03300,2017,NY,8,Number of returns with self-employment retirement plans,29310,20291
N05800,n_nonzero,05800,c05800,2017,NY,8,Number of returns with income tax before credits,451050,20292
N07240,n_nonzero,07240,E07240,2017,NY,8,Number of returns with retirement savings contribution credit,0,20293
N07260,n_nonzero,07260,E07260,2017,NY,8,Number of returns with residential energy tax credit,9440,20294
N07300,n_nonzero,07300,E07300,2017,NY,8,Number of returns with foreign tax credit,132700,20295
N09600,n_nonzero,09600,c09600,2017,NY,8,Number of returns with alternative minimum tax,368400,20296
N18500,n_nonzero,18500,E18500,2017,NY,8,Number of returns with real estate taxes,355610,20297
N2,n_exempt,NA,XTOT,2017,NY,8,Number of exemptions,1215230,20298
N26270,n_nonzero,26270,E26270,2017,NY,8,Number of returns with partnership/S-corp net income (less loss),117180,20299
A00100,amount,00100,c00100,2017,NY,9,Adjusted gross income (AGI),56532599000,20300
A00200,amount,00200,E00200,2017,NY,9,Salaries and wages amount,34332789000,20301
A00300,amount,00300,E00300,2017,NY,9,Taxable interest amount,737488000,20302
A00600,amount,00600,E00600,2017,NY,9,Ordinary dividends amount,2379979000,20303
A00650,amount,00650,E00650,2017,NY,9,Qualified dividends amount,1872825000,20304
A00700,amount,00700,E00700,2017,NY,9,State and local income tax refunds amount,379479000,20305
A00900,amount,00900,E00900,2017,NY,9,Business or professional net income (less loss) amount [Schedule C],2711665000,20306
A01400,amount,01400,E01400,2017,NY,9,Taxable individual retirement arrangements distributions amount,957621000,20307
A01700,amount,01700,E01700,2017,NY,9,Taxable pensions and annuities amount,905255000,20308
A02300,amount,02300,E02300,2017,NY,9,Unemployment compensation amount,4468000,20309
A03150,amount,03150,E03150,2017,NY,9,IRA payments amount,17537000,20310
A03210,amount,03210,E03210,2017,NY,9,Student loan interest deduction amount,0,20311
A03220,amount,03220,E03220,2017,NY,9,Educator expenses amount,421000,20312
A03230,amount,03230,E03230,2017,NY,9,Tuition and fees deduction amount,0,20313
A03240,amount,03240,E03240,2017,NY,9,Domestic production activities deduction amount,74952000,20314
A03270,amount,03270,E03270,2017,NY,9,Self-employment health insurance deduction amount,239452000,20315
A03300,amount,03300,E03300,2017,NY,9,Self-employment retirement plans amount,570065000,20316
A05800,amount,05800,c05800,2017,NY,9,Income tax before credits amount,14302720000,20317
A07240,amount,07240,E07240,2017,NY,9,Retirement savings contribution credit amount,0,20318
A07260,amount,07260,E07260,2017,NY,9,Residential energy tax credit amount,2842000,20319
A07300,amount,07300,E07300,2017,NY,9,Foreign tax credit amount,185984000,20320
A09600,amount,09600,c09600,2017,NY,9,Alternative minimum tax amount,916566000,20321
A18500,amount,18500,E18500,2017,NY,9,Real estate taxes amount,1658013000,20322
A26270,amount,26270,E26270,2017,NY,9,Partnership/S-corp net income (less loss) amount,8461338000,20323
MARS1,n_returns,NA,MARS1,2017,NY,9,Number of single returns,12760,20324
MARS2,n_returns,NA,MARS2,2017,NY,9,Number of joint returns,66790,20325
MARS3,n_returns,NA,MARS3,2017,NY,9,Number of married-separate returns,1280,20326
MARS4,n_returns,NA,MARS4,2017,NY,9,Number of head of household returns,2230,20327
N00100,n_nonzero,00100,c00100,2017,NY,9,Number of returns with adjusted gross income (AGI),83060,20328
N00200,n_nonzero,00200,E00200,2017,NY,9,Number of returns with salaries and wages,71870,20329
N00300,n_nonzero,00300,E00300,2017,NY,9,Number of returns with taxable interest,77400,20330
N00600,n_nonzero,00600,E00600,2017,NY,9,Number of returns with ordinary dividends,67840,20331
N00650,n_nonzero,00650,E00650,2017,NY,9,Number of returns with qualified dividends,65800,20332
N00700,n_nonzero,00700,E00700,2017,NY,9,Number of returns with state and local income tax refunds,35950,20333
N00900,n_nonzero,00900,E00900,2017,NY,9,Number of returns with business or professional net income (less loss) [Schedule C],22340,20334
N01400,n_nonzero,01400,E01400,2017,NY,9,Number of returns with taxable individual retirement arrangements distributions,14470,20335
N01700,n_nonzero,01700,E01700,2017,NY,9,Number of returns with taxable pensions and annuities,13810,20336
N02300,n_nonzero,02300,E02300,2017,NY,9,Number of returns with unemployment compensation,660,20337
N03150,n_nonzero,03150,E03150,2017,NY,9,Number of returns with IRA payments,1810,20338
N03210,n_nonzero,03210,E03210,2017,NY,9,Number of returns with student loan interest deduction,0,20339
N03220,n_nonzero,03220,E03220,2017,NY,9,Number of returns with educator expenses,1660,20340
N03230,n_nonzero,03230,E03230,2017,NY,9,Number of returns with tuition and fees deduction,0,20341
N03240,n_nonzero,03240,E03240,2017,NY,9,Returns with domestic production activities deduction,3860,20342
N03270,n_nonzero,03270,E03270,2017,NY,9,Number of returns with self-employment health insurance deduction,13680,20343
N03300,n_nonzero,03300,E03300,2017,NY,9,Number of returns with self-employment retirement plans,11900,20344
N05800,n_nonzero,05800,c05800,2017,NY,9,Number of returns with income tax before credits,83000,20345
N07240,n_nonzero,07240,E07240,2017,NY,9,Number of returns with retirement savings contribution credit,0,20346
N07260,n_nonzero,07260,E07260,2017,NY,9,Number of returns with residential energy tax credit,1130,20347
N07300,n_nonzero,07300,E07300,2017,NY,9,Number of returns with foreign tax credit,42600,20348
N09600,n_nonzero,09600,c09600,2017,NY,9,Number of returns with alternative minimum tax,56570,20349
N18500,n_nonzero,18500,E18500,2017,NY,9,Number of returns with real estate taxes,69110,20350
N2,n_exempt,NA,XTOT,2017,NY,9,Number of exemptions,235600,20351
N26270,n_nonzero,26270,E26270,2017,NY,9,Number of returns with partnership/S-corp net income (less loss),43300,20352
A00100,amount,00100,c00100,2017,NY,10,Adjusted gross income (AGI),220647586000,20353
A00200,amount,00200,E00200,2017,NY,10,Salaries and wages amount,70057670000,20354
A00300,amount,00300,E00300,2017,NY,10,Taxable interest amount,8579499000,20355
A00600,amount,00600,E00600,2017,NY,10,Ordinary dividends amount,13323536000,20356
A00650,amount,00650,E00650,2017,NY,10,Qualified dividends amount,9485267000,20357
A00700,amount,00700,E00700,2017,NY,10,State and local income tax refunds amount,2000548000,20358
A00900,amount,00900,E00900,2017,NY,10,Business or professional net income (less loss) amount [Schedule C],5524810000,20359
A01400,amount,01400,E01400,2017,NY,10,Taxable individual retirement arrangements distributions amount,791240000,20360
A01700,amount,01700,E01700,2017,NY,10,Taxable pensions and annuities amount,656538000,20361
A02300,amount,02300,E02300,2017,NY,10,Unemployment compensation amount,1268000,20362
A03150,amount,03150,E03150,2017,NY,10,IRA payments amount,11065000,20363
A03210,amount,03210,E03210,2017,NY,10,Student loan interest deduction amount,0,20364
A03220,amount,03220,E03220,2017,NY,10,Educator expenses amount,95000,20365
A03230,amount,03230,E03230,2017,NY,10,Tuition and fees deduction amount,0,20366
A03240,amount,03240,E03240,2017,NY,10,Domestic production activities deduction amount,418275000,20367
A03270,amount,03270,E03270,2017,NY,10,Self-employment health insurance deduction amount,295748000,20368
A03300,amount,03300,E03300,2017,NY,10,Self-employment retirement plans amount,728236000,20369
A05800,amount,05800,c05800,2017,NY,10,Income tax before credits amount,59029662000,20370
A07240,amount,07240,E07240,2017,NY,10,Retirement savings contribution credit amount,0,20371
A07260,amount,07260,E07260,2017,NY,10,Residential energy tax credit amount,4345000,20372
A07300,amount,07300,E07300,2017,NY,10,Foreign tax credit amount,1565000000,20373
A09600,amount,09600,c09600,2017,NY,10,Alternative minimum tax amount,1621308000,20374
A18500,amount,18500,E18500,2017,NY,10,Real estate taxes amount,2318530000,20375
A26270,amount,26270,E26270,2017,NY,10,Partnership/S-corp net income (less loss) amount,44812765000,20376
MARS1,n_returns,NA,MARS1,2017,NY,10,Number of single returns,7360,20377
MARS2,n_returns,NA,MARS2,2017,NY,10,Number of joint returns,43450,20378
MARS3,n_returns,NA,MARS3,2017,NY,10,Number of married-separate returns,1300,20379
MARS4,n_returns,NA,MARS4,2017,NY,10,Number of head of household returns,1370,20380
N00100,n_nonzero,00100,c00100,2017,NY,10,Number of returns with adjusted gross income (AGI),53480,20381
N00200,n_nonzero,00200,E00200,2017,NY,10,Number of returns with salaries and wages,43240,20382
N00300,n_nonzero,00300,E00300,2017,NY,10,Number of returns with taxable interest,52360,20383
N00600,n_nonzero,00600,E00600,2017,NY,10,Number of returns with ordinary dividends,48570,20384
N00650,n_nonzero,00650,E00650,2017,NY,10,Number of returns with qualified dividends,47440,20385
N00700,n_nonzero,00700,E00700,2017,NY,10,Number of returns with state and local income tax refunds,35720,20386
N00900,n_nonzero,00900,E00900,2017,NY,10,Number of returns with business or professional net income (less loss) [Schedule C],13470,20387
N01400,n_nonzero,01400,E01400,2017,NY,10,Number of returns with taxable individual retirement arrangements distributions,8540,20388
N01700,n_nonzero,01700,E01700,2017,NY,10,Number of returns with taxable pensions and annuities,7870,20389
N02300,n_nonzero,02300,E02300,2017,NY,10,Number of returns with unemployment compensation,180,20390
N03150,n_nonzero,03150,E03150,2017,NY,10,Number of returns with IRA payments,1110,20391
N03210,n_nonzero,03210,E03210,2017,NY,10,Number of returns with student loan interest deduction,0,20392
N03220,n_nonzero,03220,E03220,2017,NY,10,Number of returns with educator expenses,380,20393
N03230,n_nonzero,03230,E03230,2017,NY,10,Number of returns with tuition and fees deduction,0,20394
N03240,n_nonzero,03240,E03240,2017,NY,10,Returns with domestic production activities deduction,6420,20395
N03270,n_nonzero,03270,E03270,2017,NY,10,Number of returns with self-employment health insurance deduction,13290,20396
N03300,n_nonzero,03300,E03300,2017,NY,10,Number of returns with self-employment retirement plans,10410,20397
N05800,n_nonzero,05800,c05800,2017,NY,10,Number of returns with income tax before credits,53460,20398
N07240,n_nonzero,07240,E07240,2017,NY,10,Number of returns with retirement savings contribution credit,0,20399
N07260,n_nonzero,07260,E07260,2017,NY,10,Number of returns with residential energy tax credit,450,20400
N07300,n_nonzero,07300,E07300,2017,NY,10,Number of returns with foreign tax credit,37170,20401
N09600,n_nonzero,09600,c09600,2017,NY,10,Number of returns with alternative minimum tax,12830,20402
N18500,n_nonzero,18500,E18500,2017,NY,10,Number of returns with real estate taxes,47440,20403
N2,n_exempt,NA,XTOT,2017,NY,10,Number of exemptions,157750,20404
N26270,n_nonzero,26270,E26270,2017,NY,10,Number of returns with partnership/S-corp net income (less loss),40400,20405
